wk0000i,Workshops at the ACM Web Conference 2026,Mohamed Reda Bouadjenek:Deakin University;Danai Koutra:University of Michigan
wk0960,Reasoning in Trees: Improving Retrieval-Augmented Generation for Multi-Hop Question Answering,"Yuling Shi:Shanghai Jiao Tong University;Maolin Sun:Shandong University;Zijun Liu:iAuto (Shanghai) Co., Ltd.;Mo Yang:Sun Yat-sen University, DeepSpring Tech (Guangzhou) Technology Co., LTD.;Yixiong Fang:Carnegie Mellon University;Tianran Sun:Shanghai Jiao Tong University;Xiaodong Gu:Shanghai Jiao Tong University"
wk1000i,The 2nd Workshop on Human-Centered Recommender Systems,"Kaike Zhang:University of Chinese Academy of Sciences;Jiakai Tang:Gaoling School of Artificial Intelligence, Renmin University of China;Du Su:Institute of Computing Technology, CAS;Shuchang Liu:Kuaishou;Julian McAuley:University of California, San Diego;Lina Yao:CSIRO Data61;Qi Cao:Institute of Computing Technology, CAS;Yue Feng:University of Birmingham;Fei Sun:University of Chinese Academy of Sciences"
wk1030,Post-Training Fairness Control: A Single-Train Framework for Dynamic Fairness in Recommendation,Weixin Chen:Hong Kong Baptist University;Li Chen:Hong Kong Baptist University;Yuhan Zhao:Hong Kong Baptist University
wk1031,RecoWorld: Building Simulated Environments for Agentic Recommender Systems,Fei Liu:Meta Platforms;Xinyu Lin:National University of Singapore;Hanchao Yu:Meta Platforms;Mingyuan Wu:University of Illinois;Jianyu Wang:Meta Platforms;Qiang Zhang:Meta Platforms;Zhuokai Zhao:Meta Platforms;Yinglong Xia:Meta Platforms;Yao Zhang:Meta Platforms;Weiwei Li:Meta Platforms;Mingze Gao:Meta Platforms;Qifan Wang:Meta Platforms;Lizhu Zhang:Meta Platforms;Benyu Zhang:Meta Platforms;Xiangjun Fan:Meta Platforms
wk1032,STCRank: Spatio-temporal Collaborative Ranking for Interactive Recommender System at Kuaishou E-shop,Boyang Xia:Kuaishou Technology;Ruilin Bao:Kuaishou Technology;Hanjun Jiang:Kuaishou Technology;Jun Wang:Kuaishou Technology;Wenwu Ou:Kuaishou Technology
wk1034,Human-Centered Agentic Orchestration for Educational Recommendations: A Multi-Agent Framework Prioritizing Learner Agency and Well-being,"Naina Chaturvedi:Computer Science, Rutgers University;Ananda Gunawardena:Computer Science, Rutgers University"
wk1036s,Fairness at a Glance: Can We Audit Model Fairness Before Training Completes?,"Yuanhao Liu:State Key Laboratory of AI Safety, Institute of Computing Technology, CAS;Qi Cao:State Key Laboratory of AI Safety, Institute of Computing Technology, CAS;Huawei Shen:State Key Laboratory of AI Safety, Institute of Computing Technology, CAS;Xueqi Cheng:State Key Laboratory of AI Safety, Institute of Computing Technology, CAS"
wk1037,Orthogonal Meta-learning Boosted Bayesian Optimization for Uncertain Multi-Objective Recommendation,"Hongxu Wang:Chongqing University;Yingpeng Du:Nanyang Technological University;Zhu Sun:Singapore University of Technology and Design;Lu Zhang:Chengdu University of Information Technology;Tiantian He:Agency for Science, Technology and Research;Yew-Soon Ong:Nanyang Technological University"
wk1039,Evaluating LLM Recommendations Under Stress,Mithun Rameshbabu:International Institute of Information Technology;Kamalakar Karlapalem:International Institute of Information Technology
wk1040,Beyond Engagement: A Human-Centered Evaluation Framework for LLM-Powered Recommender Systems,Shrinivass Arunachalam Balasubramanian:Independent Researcher
