id ,Title,Authors
srp481,Machine Learning as a Service (MLaaS) Dataset Generator Framework for IoT Environments,"Deepak Kanneganti:School of Electrical Engineering, Computing and Mathematical Sciences, Curtin University;Sajib Mistry:School of Electrical Engineering, Computing and Mathematical Sciences, Curtin University;Sheik Mohammad Mostakim Fattah:School of Electrical Engineering, Computing and Mathematical Sciences, Curtin University;Joshua Boland:School of Electrical Engineering, Computing and Mathematical Sciences, Curtin University;Aneesh Krishna:School of Electrical Engineering, Computing and Mathematical Sciences, Curtin University"
srp488,Explainable Graph Sparsification with Shapley Values,"Selahattin Akkas:Intelligent Systems Engineering, Indiana University Bloomington;Ariful Azad:Computer Science and Engineering, Texas A&M University"
srp497,Coarse-Fine: A Novel VPA Strategy for Boosting Resource Utilization of Transient Offline Tasks,Yingying Wen:Bytedance;Yingzhi Chu:Zhejiang University;Zhongyu Wang:Bytedance;Zhecheng Lin:Bytedance;Fan Jiang:Bytedance;Wu Xiang:Bytedance;Rui Shi:Bytedance
srp503,PAOSC: Plug-and-play Attention Optimization for Semantic Consistency in LLMs,"Chang Li:Computer Network Information Center, Chinese Academy of Sciences;Yawei Liu:Computer Network Information Center, Chinese Academy of Sciences;Chun Long:Computer Network Information Center, Chinese Academy of Sciences;Jing Zhao:Computer Network Information Center, Chinese Academy of Sciences;Guanyao Du:Computer Network Information Center, Chinese Academy of Sciences"
srp504,Breaking Semantic-Aware Watermarks via LLM-Guided Coherence-Preserving Semantic Injection,Zheng Gao:University of New South Wales;Xiaoyu Li:University of New South Wales;Zhicheng Bao:University of New South Wales;Xiaoyan Feng:Griffith University;Jiaojiao Jiang:University of New South Wales
srp508,Anonymous Linear Bandits for Multi-User Systems,Mohammad Reza Badri:EPFL;Hossein Esfandiari:Google Research;Samira Hossein Ghorban:Institute for Research in Fundamental Sciences;Alireza Rezaeimoghadam:Sharif University of Technology
srp512,Efficient Learning of Sparse Representations from Interactions,"Vojtech Vancura:Recombee,Faculty of Mathematics and Physics, Charles University;Martin Spišák:TopK,Faculty of Mathematics and Physics, Charles University;Rodrigo Alves:Czech Technical University in Prague;Ladislav Peska:Faculty of Mathematics and Physics, Charles University"
srp518,Back to the Future: Look-ahead Augmentation and Parallel Self-Refinement for Time Series Forecasting,"Sunho Kim:Computer Science and Engineering, Korea University;Susik Yoon:Computer Science and Engineering, Korea University"
srp528,CGPT: Cluster-Guided Partial Tables with LLM-Generated Supervision for Table Retrieval,"Tsung-Hsiang Chou:National Chung Hsing University,Smart Sustainable New Agriculture Research Center (SMARTer);Chen-Jui Yu:National Chung Hsing University,Smart Sustainable New Agriculture Research Center (SMARTer);Shui-Hsiang Hsu:National Chung Hsing University,Smart Sustainable New Agriculture Research Center (SMARTer);Yao-Chung Fan:National Chung Hsing University,Smart Sustainable New Agriculture Research Center (SMARTer)"
srp539,EDTF: A Plug-and-Play Learning Framework for Estimated Delivery Time Task,Yichen Song:zhejiang university;Jianfeng Zhou:Bytedance;Renhao Cao:Bytedance;Jian-Ya Ding:Bytedance
srp560,Understanding Post-Exploit Laundering Behavior on Ethereum,Xihan Xiong:Imperial College London;Junliang Luo:McGill University
srp571,HAUTE: Harmonizing Action Units with Temporal-contextual Embeddings for Deepfake Detection,Chaewon Kang:Sungkyunkwan University;Youjin Lee:Sungkyunkwan University;Jinyoung Han:Sungkyunkwan University
srp572,Auditing Textual Context in Sequence-Aware Explainable Recommendation,"Alejandro Ariza-Casabona:University of Barcelona, CLiC-UBICS;Maria Salamó:University of Barcelona, CLiC-UBICS;Ludovico Boratto:University of Cagliari"
srp578,MACA: A Multi-Agent Cognitive Adaptation Framework for Human–Agent Collaborative Decision Making,"Youn Jun Seong:Sungkyunkwan University, Department of Artificial Intelligence Convergence;Ha Young Oh:Sungkyunkwan University, Department of Artificial Intelligence Convergence"
srp580,Rethinking MoE with Retrieval-Memory Synergy: Towards Efficient Expert Coordination,"Wanjie Tao:Mashang Consumer Finance Co., Ltd;Qun Dai:Nanjing University of Aeronautics and Astronautics;Yantong Lv:Mashang Consumer Finance Co., Ltd;Quan Lu:Mashang Consumer Finance Co., Ltd;Ning Jiang:Mashang Consumer Finance Co., Ltd;Zulong Chen:Alibaba Group"
srp592,Exploring Fine-Tuning for Tabular Foundation Models,Aditya Tanna:Lexsi Labs;Pratinav Seth:Lexsi Labs;Mohamed Bouadi:Lexsi Labs;Vinay Kumar Sankarapu:Lexsi Labs
srp594,MGK-RAG: Multi-Granularity Knowledge Guided Retrieval-Augmented Generation for Radiology Report,"Jiaqing Ma:Artificial Intelligence Institute, Shanghai University;Xiaodong Yue:Artificial Intelligence Institute, Shanghai University;Yufei Chen:School of Computer Science and Technology, Tongii University;Jie Shi:School of Computer Engineering and Science, Shanghai University;Zhipeng Wei:School of Computer Engineering and Science, Shanghai University;Zeyu Jia:Shanghai Yingtai Purun Medical Device Co., Ltd."
srp601,Linguistic Signatures for Enhanced Emotion Detection,"Florian Lecourt:LIRMM, University Montpellier II;Madalina Croitoru:LIRMM, Univ. Montpellier II;Konstantin Todorov:LIRMM, Univ. Montpellier II"
srp610,Do You Trust Me? Cognitive–Affective Signatures of Trustworthiness in Large Language Models,Gerard C. Yeo:National University of Singapore;Svetlana Churina:National University of Singapore;Kokil Jaidka:National University of Singapore
srp612,Active Retrieval-Augmented Generation with Conflict-Fused Uncertainty Quantification,"Tao Tang:Artificial Intelligence Institute, Shanghai University;Xiaodong Yue:Artificial Intelligence Institute, Shanghai University;Yufei Chen:School of Computer Science and Technology, Tongji University;Jie Shi:School of Computer Engineering and Science, Shanghai University;Shijie Ding:School of Computer Engineering and Science, Shanghai University"
srp613,Fact-Checking Strategies in Web: Lateral Navigation in the Browser Boosts Health Misinformation Detection Even Under Confirmation Bias,"Elena Artemenko:Social & Cognitive Informatics Lab., HSE University;Olessia Koltsova:Social & Cognitive Informatics Lab., HSE University;Maksim Terpilovskii:Social & Cognitive Informatics Lab., HSE University;Natalia Khazova:Social & Cognitive Informatics Lab., HSE University"
srp616,Revisiting IPS-based Algorithms for Off-Policy Evaluation of Contextual Bandits,"Daria Korovaitceva:HSE University;Marina Sheshukova:HSE University;Evgeny Frolov:Personalization Technologies,HSE University;Sergey Samsonov:HSE University"
srp620,SAGE-RAI: Design Patterns for Transparent RAG Systems,Joseph Kwarteng:The Open University;Aisling Third:The Open University;Alexander Mikroyannidis:The Open University;David Tarrant:The Open Data Institute;John Domingue:The Open University
srp627,Towards Efficient and Interpretable Medical Concept Representation via Ontology-driven Residual Vector Quantization,Hang Lv:Fuzhou University;Kaisong Zhang:Fuzhou University;Yanchao Tan:Fuzhou University;Xing Chen:Fuzhou University
srp628,Multi-Agent Collaborative Filtering: Orchestrating Users and Items for Agentic Recommendations,"Yu Xia:University of California, San Diego;Sungchul Kim:Adobe Research;Tong Yu:Adobe Research;Ryan A. Rossi:Adobe Research;Julian McAuley:University of California, San Diego"
srp637,Tuning Qwen2.5-VL to Improve Its Web Interaction Skills,"Alexandra Yakovleva:Aalto University;Henrik Pärssinen:Aalto University;Harri Valpola:System 2 AI;Juho Kannala:Aalto University,University of Oulu;Alexander Ilin:System 2 AI"
srp640,VK-LSVD: A Large-Scale Industrial Dataset for Short-Video Recommendation,"Aleksandr Poslavsky:VK AI;Alexander D'yakonov:VK AI;Yuriy Dorn:AI Center \& IAI MSU, Lomonosov Moscow State University;Andrey Zimovnov:VK AI"
srp641,NERdME: A Named Entity Recognition Dataset for Indexing Research Artifacts in Code Repositories,"Genet Asefa Gesese:FIZ Karlsruhe,Karlsruhe Institute of Technology;Zongxiong Chen:Fraunhofer FOKUS;Shufan Jiang:IRIT, UT, CNRS, Toulouse INP,Université de Toulouse Jean Jaurès;Mary Ann Tan:FIZ Karlsruhe;Zhaotai Liu:FIZ Karlsruhe;Sonja Schimmler:Fraunhofer FOKUS,Technische Universität Berlin;Harald Sack:FIZ Karlsruhe,Karlsruhe Institute of Technology"
